feature_id	start	end	chromosome
ENSG00000283356	5554747	5554881	1
ENSG00000011021	11806096	11848079	1
ENSG00000272482	12618900	12619244	1
ENSG00000284747	7991134	8005312	1
ENSG00000215912	2635976	2801717	1
ENSG00000120952	12857086	12861909	1
ENSG00000243073	12879212	12886201	1
ENSG00000142615	15456728	15472091	1
ENSG00000215704	15465909	15491395	1
ENSG00000065526	15836095	15940456	1
ENSG00000175756	1373730	1375495	1
ENSG00000229484	12527724	12528420	1
ENSG00000157916	2391775	2405442	1
ENSG00000157881	2508537	2526597	1
ENSG00000116213	3630767	3652761	1
ENSG00000283611	9950572	9960787	1
ENSG00000238290	8026738	8122702	1
ENSG00000225387	18385829	18388514	1
ENSG00000127463	19215660	19251527	1
ENSG00000048707	12230030	12512047	1
ENSG00000158748	19664875	19680966	1
ENSG00000235643	11609468	11613358	1
ENSG00000225196	12220794	12221109	1
ENSG00000130762	3454665	3481113	1
ENSG00000187144	16387117	16437424	1
ENSG00000162444	9997206	10016021	1
ENSG00000279169	13196188	13201409	1
ENSG00000279625	22364630	22366482	1
ENSG00000180758	9100305	9129102	1
ENSG00000231219	13273539	13275627	1
ENSG00000229010	23140325	23141142	1
ENSG00000184677	22428838	22531157	1
ENSG00000230679	8878835	8879894	1
ENSG00000270136	19597067	19656927	1
ENSG00000132879	11654375	11663327	1
ENSG00000187545	12892896	12898270	1
ENSG00000288398	16228674	16231335	1
ENSG00000224621	16159266	16161883	1
ENSG00000239810	12824605	12831410	1
ENSG00000285833	11500803	11502016	1
ENSG00000224459	15740051	15749896	1
ENSG00000116731	13700198	13825079	1
ENSG00000116721	12791397	12796628	1
ENSG00000215785	10990978	10991797	1
ENSG00000131697	5862811	5992473	1
ENSG00000284692	5478736	5493057	1
ENSG00000284745	2960658	2968707	1
ENSG00000225952	22835713	22836849	1
ENSG00000280222	18109389	18115861	1
ENSG00000088280	23428563	23484568	1
ENSG00000188807	9588911	9614877	1
ENSG00000284693	9425094	9440564	1
ENSG00000232298	24307556	24321901	1
ENSG00000227634	8201518	8215210	1
ENSG00000225315	24040835	24086799	1
ENSG00000198793	11106535	11262551	1
ENSG00000078900	3652516	3736201	1
ENSG00000142661	24056035	24112135	1
ENSG00000285945	2768091	2784733	1
ENSG00000171819	11189355	11195981	1
ENSG00000229162	24961345	24963097	1
ENSG00000197921	2528745	2530263	1
ENSG00000233755	25043707	25113120	1
ENSG00000116288	7954291	7985505	1
ENSG00000238164	2549920	2557031	1
ENSG00000233929	16241213	16241398	1
ENSG00000287810	26817300	26817476	1
ENSG00000271742	15682873	15683128	1
ENSG00000142677	24119771	24143140	1
ENSG00000131910	26911489	26913975	1
ENSG00000185436	24154168	24187959	1
ENSG00000131914	26410817	26429728	1
ENSG00000226396	19608114	19608568	1
ENSG00000232423	12938472	12947580	1
ENSG00000229247	26640377	26640614	1
ENSG00000169504	24745382	24844321	1
ENSG00000224311	27229106	27234352	1
ENSG00000225159	27206930	27207796	1
ENSG00000260063	26692132	26694131	1
ENSG00000272088	3487246	3487627	1
ENSG00000228338	12822686	12823159	1
ENSG00000270728	19297080	19297903	1
ENSG00000169641	23084023	23177808	1
ENSG00000181773	27392622	27395814	1
ENSG00000175707	26949562	26960468	1
ENSG00000241547	27325329	27325796	1
ENSG00000224129	26519354	26520250	1
ENSG00000234166	16197854	16198357	1
ENSG00000230228	23949016	23949383	1
ENSG00000237436	6783892	6784843	1
ENSG00000233954	15807169	15809348	1
ENSG00000174950	27379176	27383333	1
ENSG00000235282	18513118	18513383	1
ENSG00000055070	16352575	16398145	1
ENSG00000225891	26462756	26468014	1
ENSG00000175087	26111165	26125555	1
ENSG00000171735	6785454	7769706	1
ENSG00000157191	16440721	16460078	1
ENSG00000270733	26263041	26263398	1
ENSG00000284699	24704894	24717596	1
ENSG00000133226	24631716	24673281	1
ENSG00000229985	27176751	27177277	1
ENSG00000162482	19282573	19288770	1
ENSG00000230035	18166929	18179346	1
ENSG00000235185	19591802	19596832	1
ENSG00000236782	26169516	26171831	1
ENSG00000215910	11761787	11789585	1
ENSG00000116663	11664200	11674354	1
ENSG00000225643	25581478	25590356	1
ENSG00000215695	15659869	15661722	1
ENSG00000284666	5480787	5482028	1
ENSG00000243659	27311240	27311838	1
ENSG00000240553	23020147	23088058	1
ENSG00000228943	28109739	28110298	1
ENSG00000215906	22953043	22965338	1
ENSG00000230703	24066774	24083565	1
ENSG00000188822	23870515	23913362	1
ENSG00000232848	8057245	8058463	1
ENSG00000234397	22322840	22323331	1
ENSG00000090273	26900238	26946871	1
ENSG00000284309	26046665	26049099	1
ENSG00000227868	23010834	23015852	1
ENSG00000269925	7776383	7776775	1
ENSG00000142751	26876132	26890283	1
ENSG00000189266	23956839	23963462	1
ENSG00000162511	30732469	30757774	1
ENSG00000158014	26037252	26046118	1
ENSG00000204138	28369582	28500364	1
ENSG00000233419	25125053	25125454	1
ENSG00000235263	9501092	9503471	1
ENSG00000228176	29708851	29709547	1
ENSG00000229106	23901471	23902737	1
ENSG00000236155	26209741	26229840	1
ENSG00000231251	30226523	30226615	1
ENSG00000142675	26177484	26189884	1
ENSG00000197245	26159079	26163962	1
ENSG00000231949	30415825	30421108	1
ENSG00000261025	24968423	24970865	1
ENSG00000116237	6221193	6235972	1
ENSG00000158195	27404230	27490167	1
ENSG00000130772	28329002	28335965	1
ENSG00000215899	31487589	31488930	1
ENSG00000237429	27525805	27530561	1
ENSG00000271398	28247144	28247568	1
ENSG00000225011	29488193	29496893	1
ENSG00000215905	24007881	24008519	1
ENSG00000240731	1317581	1318689	1
ENSG00000235069	26647447	26647681	1
ENSG00000172746	26980165	26980975	1
ENSG00000284676	29755175	29790597	1
ENSG00000237058	2632568	2636620	1
ENSG00000204160	26826688	26857604	1
ENSG00000233399	30013952	30037612	1
ENSG00000090020	27098809	27166981	1
ENSG00000225990	27211265	27211484	1
ENSG00000157978	25543606	25568886	1
ENSG00000226944	6204840	6205780	1
ENSG00000158246	27005020	27012850	1
ENSG00000270282	8512653	8513021	1
ENSG00000130770	28236109	28246906	1
ENSG00000117305	23801885	23838620	1
ENSG00000235131	3712200	3714298	1
ENSG00000229044	31333067	31346799	1
ENSG00000162512	30869466	30908758	1
ENSG00000179840	9652610	9654586	1
ENSG00000272449	2530064	2547460	1
ENSG00000214973	27200834	27201473	1
ENSG00000198746	26890488	26900467	1
ENSG00000158006	25959767	25998117	1
ENSG00000188529	23964347	23980927	1
ENSG00000214812	28120449	28121321	1
ENSG00000142784	27234632	27308636	1
ENSG00000230023	24200240	24211693	1
ENSG00000227950	6834333	6834618	1
ENSG00000117682	26432282	26471306	1
ENSG00000175793	26863149	26864456	1
ENSG00000126698	28199456	28233029	1
ENSG00000229447	31263245	31263681	1
ENSG00000229607	30810378	30815553	1
ENSG00000229994	35350722	35351607	1
ENSG00000130766	28259518	28282491	1
ENSG00000168528	31409565	31434680	1
ENSG00000196581	4654609	4792534	1
ENSG00000169403	28147166	28193936	1
ENSG00000117676	26529761	26575030	1
ENSG00000198830	26472440	26476642	1
ENSG00000225126	7441096	7441554	1
ENSG00000084628	31179745	31239887	1
ENSG00000060688	31259568	31296788	1
ENSG00000236335	30409560	30411638	1
ENSG00000171612	9539465	9585173	1
ENSG00000241169	27457198	27459582	1
ENSG00000278572	26218581	26220476	1
ENSG00000227001	21424625	21427967	1
ENSG00000270927	29904865	29905357	1
ENSG00000226698	26876133	26878245	1
ENSG00000284744	6767954	6770038	1
ENSG00000162458	15756607	15786594	1
ENSG00000188910	34781214	34786369	1
ENSG00000230523	29329620	29350114	1
ENSG00000186056	30718504	30726827	1
ENSG00000116138	15526813	15592379	1
ENSG00000231207	27389468	27390145	1
ENSG00000142765	27342020	27353937	1
ENSG00000158161	27970344	28088637	1
ENSG00000270330	7942372	7942726	1
ENSG00000142684	26169908	26170873	1
ENSG00000060642	26787054	26800659	1
ENSG00000224064	26983628	26984024	1
ENSG00000234619	8750430	8751087	1
ENSG00000121769	31365253	31376850	1
ENSG00000236963	20360579	20431234	1
ENSG00000232557	23907111	23907885	1
ENSG00000157330	12746200	12763699	1
ENSG00000162413	6590724	6614607	1
ENSG00000142627	16124337	16156069	1
ENSG00000284668	3976133	4012704	1
ENSG00000233234	2811850	2812692	1
ENSG00000142632	16197854	16212652	1
ENSG00000234593	14338825	14419973	1
ENSG00000162490	11691710	11725857	1
ENSG00000158292	6247353	6261098	1
ENSG00000270605	28239509	28241453	1
ENSG00000238199	11278616	11279351	1
ENSG00000142733	27354067	27366961	1
ENSG00000189337	13892792	15118043	1
ENSG00000270601	13254212	13263314	1
ENSG00000233268	9660828	9662626	1
ENSG00000232912	8424645	8435013	1
ENSG00000235084	15604597	15605043	1
ENSG00000235143	30858158	30860254	1
ENSG00000225478	18595414	18595636	1
ENSG00000225077	6234692	6239444	1
ENSG00000028137	12166991	12209228	1
ENSG00000223944	37154761	37325100	1
ENSG00000238249	8893409	8894151	1
ENSG00000187952	21428303	21429536	1
ENSG00000237938	15720312	15736896	1
ENSG00000227409	35358822	35366077	1
ENSG00000204464	15164344	15171317	1
ENSG00000233372	30140263	30141607	1
ENSG00000162460	15742499	15747982	1
ENSG00000283259	2773603	2776473	1
ENSG00000142687	35433492	35557950	1
ENSG00000284543	31506226	31583306	1
ENSG00000223382	30824217	30834864	1
ENSG00000226166	12692909	12693020	1
ENSG00000130939	10032832	10181239	1
ENSG00000236216	21397987	21398362	1
ENSG00000175147	15111815	15153618	1
ENSG00000236266	7810242	7827342	1
ENSG00000127472	20028179	20091911	1
ENSG00000231103	12838125	12841357	1
ENSG00000060656	29236516	29326813	1
ENSG00000163867	34986165	35031945	1
ENSG00000232768	31050872	31051034	1
ENSG00000225294	26985897	26986340	1
ENSG00000230214	36630335	36630857	1
ENSG00000189280	34755047	34758512	1
ENSG00000134698	35808016	35857890	1
ENSG00000226487	20412304	20413253	1
ENSG00000134690	37692481	37709719	1
ENSG00000272420	2363061	2363628	1
ENSG00000224333	32402109	32403115	1
ENSG00000226664	20294211	20323187	1
ENSG00000132881	16231692	16237183	1
ENSG00000273274	32465072	32496686	1
ENSG00000224321	15792796	15793285	1
ENSG00000233621	37350934	37474411	1
ENSG00000228940	40938104	40939763	1
ENSG00000116251	6185020	6209389	1
ENSG00000272510	15565611	15565956	1
ENSG00000158286	6205475	6221299	1
ENSG00000236648	17717625	17749978	1
ENSG00000232273	37544763	37545294	1
ENSG00000237276	16215909	16228027	1
ENSG00000227959	16155211	16157329	1
ENSG00000009709	18630846	18748866	1
ENSG00000043514	39838110	39883511	1
ENSG00000186543	21434318	21437558	1
ENSG00000287396	2814056	2817767	1
ENSG00000231789	9672426	9687555	1
ENSG00000162510	30711277	30723585	1
ENSG00000179002	18839599	18859682	1
ENSG00000223589	38080572	38080911	1
ENSG00000188984	12716110	12728760	1
ENSG00000229259	32423214	32426789	1
ENSG00000270171	7693124	7694844	1
ENSG00000158008	26019884	26036464	1
ENSG00000269732	439870	440232	1
ENSG00000130940	10636604	10796650	1
ENSG00000116771	15571699	15585051	1
ENSG00000237301	15586136	15603626	1
ENSG00000162585	2184461	2212720	1
ENSG00000163879	37556919	37566857	1
ENSG00000227527	42335386	42338376	1
ENSG00000127129	41478775	41484683	1
ENSG00000228823	21411460	21413293	1
ENSG00000010803	41027200	41242154	1
ENSG00000229901	41375004	41375669	1
ENSG00000169991	18904280	18956676	1
ENSG00000116954	38838198	38859772	1
ENSG00000117013	40783787	40840452	1
ENSG00000228589	28095742	28096422	1
ENSG00000163873	36795527	37034515	1
ENSG00000233431	21586472	21591187	1
ENSG00000117215	20111939	20119566	1
ENSG00000223583	26454653	26455187	1
ENSG00000196449	37802945	37808208	1
ENSG00000250575	491225	493241	1
ENSG00000237700	13303539	13308907	1
ENSG00000253368	26993692	27000886	1
ENSG00000179862	40861054	40862363	1
ENSG00000116661	11637018	11655785	1
ENSG00000230163	34850694	34851555	1
ENSG00000287400	41241772	41338644	1
ENSG00000227538	42040597	42041729	1
ENSG00000232208	8907393	8907744	1
ENSG00000162461	15736258	15741392	1
ENSG00000236500	15614643	15614867	1
ENSG00000044012	42153410	42155820	1
ENSG00000179051	17406760	17439677	1
ENSG00000215895	38708931	38710890	1
ENSG00000231868	6443034	6447006	1
ENSG00000284650	37133489	37136146	1
ENSG00000237329	31036734	31037240	1
ENSG00000236948	5561709	5668295	1
ENSG00000270850	32421979	32422319	1
ENSG00000053372	19251805	19260128	1
ENSG00000287510	30731693	30733427	1
ENSG00000126067	35599541	35641526	1
ENSG00000274944	38864501	38881617	1
ENSG00000066136	40691648	40771603	1
ENSG00000132906	15490832	15526534	1
ENSG00000286668	40939294	40945524	1
ENSG00000197312	15617458	15669044	1
ENSG00000284748	37596126	37607336	1
ENSG00000272078	10639241	10654333	1
ENSG00000173660	46303698	46316776	1
ENSG00000224592	38047314	38119025	1
ENSG00000233728	37799720	37800879	1
ENSG00000230451	37330852	37330996	1
ENSG00000215893	41098638	41099136	1
ENSG00000231606	14221887	14304445	1
ENSG00000215900	31094987	31095558	1
ENSG00000092847	35869808	35930532	1
ENSG00000284632	38754216	38815979	1
ENSG00000204510	12916610	12920482	1
ENSG00000241014	34975699	34978706	1
ENSG00000054118	36224432	36305357	1
ENSG00000254553	32465057	32600792	1
ENSG00000230415	1275223	1280420	1
ENSG00000177181	42380792	42424232	1
ENSG00000284653	18015712	18045612	1
ENSG00000237749	37556247	37556499	1
ENSG00000224863	46446600	46451317	1
ENSG00000276747	17372196	17401699	1
ENSG00000284705	36703953	36710582	1
ENSG00000287828	3313052	3323149	1
ENSG00000228776	42140635	42141391	1
ENSG00000236009	21415898	21417492	1
ENSG00000228526	9148011	9198906	1
ENSG00000159339	17308195	17364004	1
ENSG00000284678	39801414	39817460	1
ENSG00000162373	48727519	48776969	1
ENSG00000223814	47761132	47765547	1
ENSG00000197982	37806979	37809454	1
ENSG00000225158	10895761	10895998	1
ENSG00000261781	18065657	18074412	1
ENSG00000183317	37713880	37765133	1
ENSG00000250894	13245863	13248652	1
ENSG00000232022	46432129	46482493	1
ENSG00000183386	37996770	38005606	1
ENSG00000284743	20478779	20480397	1
ENSG00000229528	40863914	40876670	1
ENSG00000158315	38885807	38941830	1
ENSG00000232514	48497263	48497736	1
ENSG00000229213	39795843	39795996	1
ENSG00000243749	34981535	34985353	1
ENSG00000204084	37860697	37947057	1
ENSG00000286064	19260521	19262307	1
ENSG00000235358	41242373	41284861	1
ENSG00000186973	43145153	43156396	1
ENSG00000233118	40942251	40942515	1
ENSG00000271806	2141084	2145279	1
ENSG00000142698	34166883	34219131	1
ENSG00000272084	19072110	19075511	1
ENSG00000146463	35268709	35422058	1
ENSG00000279214	48262230	48263179	1
ENSG00000183520	38009258	38024820	1
ENSG00000271164	35873270	35873752	1
ENSG00000090686	21678298	21783606	1
ENSG00000085998	46188682	46220305	1
ENSG00000271741	34981533	35031741	1
ENSG00000226957	46046818	46048368	1
ENSG00000211454	19265982	19274194	1
ENSG00000214141	37776670	37779418	1
ENSG00000142686	35713877	35718894	1
ENSG00000224751	43850300	43851611	1
ENSG00000286597	48926021	48936734	1
ENSG00000279096	48102068	48104736	1
ENSG00000227857	46134531	46139081	1
ENSG00000213987	41264550	41264862	1
ENSG00000117148	17755333	17827063	1
ENSG00000230585	50780340	50781150	1
ENSG00000127125	42456117	42473385	1
ENSG00000197429	45694324	45750653	1
ENSG00000117000	40161387	40240921	1
ENSG00000284989	43650149	43931014	1
ENSG00000178585	9848276	9910336	1
ENSG00000231630	2814432	2814998	1
ENSG00000092853	35720218	35769978	1
ENSG00000255811	34761426	34788097	1
ENSG00000236253	53413149	53440020	1
ENSG00000198754	39769523	39771348	1
ENSG00000134697	37566816	37595937	1
ENSG00000187513	34792999	34795747	1
ENSG00000278139	46043661	46176488	1
ENSG00000238145	46891639	46892830	1
ENSG00000225142	31108188	31108623	1
ENSG00000230138	53366656	53368245	1
ENSG00000230116	42491739	42492493	1
ENSG00000223390	52033391	52044279	1
ENSG00000285823	25041136	25047404	1
ENSG00000284720	36768122	36769725	1
ENSG00000225028	47818066	47820237	1
ENSG00000286640	41302932	41306148	1
ENSG00000225671	50405430	50406024	1
ENSG00000116151	2321253	2391707	1
ENSG00000226147	52994726	52996026	1
ENSG00000182873	2181794	2184389	1
ENSG00000286518	3367815	3373928	1
ENSG00000178715	15828232	15828669	1
ENSG00000284641	20476222	20478937	1
ENSG00000006555	54779712	54801323	1
ENSG00000236111	45781277	45781957	1
ENSG00000066056	43300982	43323108	1
ENSG00000214114	38862493	38873368	1
ENSG00000173436	19484403	19629821	1
ENSG00000116544	34865436	34929650	1
ENSG00000231900	55367466	55368774	1
ENSG00000236723	53209783	53213775	1
ENSG00000204060	41361922	41383590	1
ENSG00000232467	45846994	45847594	1
ENSG00000186094	48532854	50023954	1
ENSG00000117016	40620680	40665682	1
ENSG00000270241	34276859	34277292	1
ENSG00000121310	52895910	52927212	1
ENSG00000169213	51907956	51990700	1
ENSG00000229846	49025595	49187585	1
ENSG00000163866	34712737	34859755	1
ENSG00000225779	46370586	46370955	1
ENSG00000236546	39897745	39899098	1
ENSG00000233114	46104950	46105175	1
ENSG00000228436	38859912	38965038	1
ENSG00000284601	54974900	54980464	1
ENSG00000049249	7915871	7943165	1
ENSG00000284719	39799422	39809450	1
ENSG00000237130	50846468	50846837	1
ENSG00000171793	40979688	41012565	1
ENSG00000116990	39895426	39902256	1
ENSG00000143001	54980628	54992288	1
ENSG00000229716	8831007	8831375	1
ENSG00000236876	42500205	42500339	1
ENSG00000226133	48050659	48091736	1
ENSG00000227416	37782457	37782885	1
ENSG00000232335	35739389	35743576	1
ENSG00000260971	56154545	56477687	1
ENSG00000274386	42785007	42816619	1
ENSG00000259832	46967679	46967874	1
ENSG00000284696	50229662	50321192	1
ENSG00000238242	60114875	60149784	1
ENSG00000285839	52020153	52033350	1
ENSG00000237290	38209034	38214806	1
ENSG00000232762	53304536	53307462	1
ENSG00000117419	44221070	44355260	1
ENSG00000162384	53214099	53220634	1
ENSG00000162391	54609181	54623556	1
ENSG00000174348	53062052	53085501	1
ENSG00000154198	46843095	46900437	1
ENSG00000117859	51577179	51798427	1
ENSG00000228121	58999676	59000494	1
ENSG00000253313	43281877	43285617	1
ENSG00000040487	19312326	19329300	1
ENSG00000162396	54756898	54764523	1
ENSG00000203995	52842511	52894998	1
ENSG00000227742	51561866	51594897	1
ENSG00000117713	26693236	26782104	1
ENSG00000230114	49257411	49269285	1
ENSG00000177868	42807052	42817397	1
ENSG00000284686	56173433	56524495	1
ENSG00000162378	52726453	52827336	1
ENSG00000233079	55868254	55950119	1
ENSG00000162599	60865259	61462788	1
ENSG00000259818	53220663	53224253	1
ENSG00000229444	43709392	43727343	1
ENSG00000240563	62194849	62212328	1
ENSG00000234318	62896009	62901639	1
ENSG00000284773	34974356	34985313	1
ENSG00000234481	36769812	36775768	1
ENSG00000117862	52020131	52055191	1
ENSG00000162551	21509397	21578410	1
ENSG00000235612	56145721	56155224	1
ENSG00000228369	52050918	52052683	1
ENSG00000183431	37956975	37990075	1
ENSG00000227485	63024207	63025658	1
ENSG00000224609	59131932	59296491	1
ENSG00000235545	62688482	62710694	1
ENSG00000236646	62038842	62039111	1
ENSG00000169174	55039447	55064852	1
ENSG00000288527	53441268	53441346	1
ENSG00000231252	60659631	60868009	1
ENSG00000232198	55372710	55373316	1
ENSG00000236180	42570970	42571390	1
ENSG00000231622	65154480	65154650	1
ENSG00000238063	38474825	38516520	1
ENSG00000235804	65077413	65078131	1
ENSG00000227104	55938714	55939280	1
ENSG00000243725	54715861	54742657	1
ENSG00000116985	39757182	39788865	1
ENSG00000134716	59893308	59926773	1
ENSG00000171872	44118821	44135140	1
ENSG00000162407	56494761	56645301	1
ENSG00000285079	65703962	65714847	1
ENSG00000169218	37611350	37634892	1
ENSG00000163877	37534449	37554293	1
ENSG00000228929	52772194	52772648	1
ENSG00000224570	65576129	65578380	1
ENSG00000224980	56585612	56586242	1
ENSG00000185031	64984608	64986087	1
ENSG00000278967	62607766	62609584	1
ENSG00000157184	53196792	53214197	1
ENSG00000272491	48227888	48229561	1
ENSG00000198815	42176539	42335877	1
ENSG00000134744	52408282	52553487	1
ENSG00000226883	59754747	59789182	1
ENSG00000162437	64745095	64833232	1
ENSG00000233910	40593633	40594353	1
ENSG00000287703	34640157	34685732	1
ENSG00000283039	44137821	44141631	1
ENSG00000229032	51980473	51980814	1
ENSG00000229294	65279456	65306521	1
ENSG00000184292	58575433	58577252	1
ENSG00000187140	63322567	63325128	1
ENSG00000226754	53238550	53246482	1
ENSG00000228431	68049360	68049745	1
ENSG00000279324	49994318	49996218	1
ENSG00000232993	53069938	53085502	1
ENSG00000234088	62190522	62190926	1
ENSG00000186409	42463221	42657190	1
ENSG00000236973	51707138	51708137	1
ENSG00000162595	68045886	68051631	1
ENSG00000227947	47688463	47704029	1
ENSG00000277397	53180921	53186900	1
ENSG00000271200	61741998	61742424	1
ENSG00000235446	69215835	69249477	1
ENSG00000261196	46994382	46994502	1
ENSG00000224209	63159083	63317274	1
ENSG00000171357	46203334	46221256	1
ENSG00000237853	61248945	61253510	1
ENSG00000162385	53226900	53238518	1
ENSG00000231413	48078787	48082196	1
ENSG00000234264	68496676	68538627	1
ENSG00000242391	52881216	52881730	1
ENSG00000086015	45786987	46036122	1
ENSG00000223883	69055838	69229607	1
ENSG00000284808	61481087	61533271	1
ENSG00000184588	65792514	66374579	1
ENSG00000242267	48096092	48182428	1
ENSG00000237227	62208136	62208442	1
ENSG00000117472	46175073	46185962	1
ENSG00000275350	38383838	38384422	1
ENSG00000116652	63547082	63550636	1
ENSG00000203605	63139250	63163153	1
ENSG00000123080	50960745	50974634	1
ENSG00000177452	63788721	63789304	1
ENSG00000285778	73787370	73915340	1
ENSG00000077549	19338775	19485539	1
ENSG00000233407	50206084	50223127	1
ENSG00000225675	53328233	53336509	1
ENSG00000237622	68375327	68375663	1
ENSG00000162598	59987269	60073770	1
ENSG00000280317	72979014	72979314	1
ENSG00000162415	45016399	45306209	1
ENSG00000229133	68242474	68243055	1
ENSG00000185483	63774017	64181498	1
ENSG00000162600	58415384	58546802	1
ENSG00000116704	66999350	67054148	1
ENSG00000225623	49374201	49472085	1
ENSG00000261213	75122518	75123927	1
ENSG00000227644	53073110	53073389	1
ENSG00000157193	53242364	53328469	1
ENSG00000116205	54053584	54112519	1
ENSG00000198841	52032103	52033810	1
ENSG00000116212	53946085	53968168	1
ENSG00000234204	62189131	62189953	1
ENSG00000116729	68098473	68233120	1
ENSG00000224127	75127830	75133058	1
ENSG00000233099	77346046	77349585	1
ENSG00000233994	72274552	72275159	1
ENSG00000237180	48089368	48089634	1
ENSG00000223956	56414935	56417137	1
ENSG00000213561	78043383	78044148	1
ENSG00000234496	65092392	65092614	1
ENSG00000233973	73305609	73355253	1
ENSG00000237552	76758124	76779267	1
ENSG00000132854	62236165	62319434	1
ENSG00000227556	78317157	78317263	1
